QT_content,QT_objects
TAZ Pro Owners -- do you recommend it?,it
Z height changing during print.,print
Side fans stopped working,working
My Taz 6 started chewing up the filament,filament
"Luzbot 5 Single, printing in squiggles",squiggles
SOLVED: Taz 6 auto leveling is >0.5mm off (NOW PERFECT TO 0.01mm!),> 0.5 mm
TAZ 6 Bed leveling problems,problems
Problems with the TAZ6,TAZ6
Additional Heating Resistors in TAZ4 and TAZ5,TAZ4
Taz 6 Z Probe: I need some bed leveling help,bed leveling help
Taz 6 Probing Problem,Problem
"Posts Responded with ""Reach out to the support team"" Question",support team
Free STL if anyone wants it for Taz6,it
Nozzle is missing wiper pad and hitting mount,mount
Nozzle is missing wiper pad and hitting mount,wiper pad
Taz 6 + Brand New MoarStruder makes loud popping sound,loud
HS Tool Head 0.8 Made a expensive mistake,expensive mistake
Any Interested in Manufacturing Parts?,Manufacturing Parts
Taz 5 with SL 0.25mm tool head,SL 0.25 mm tool head
Vibration in y axis even after bed swap,y axis
Lulzbot Support is Horrible,Horrible
Taz 6 with Duet Wifi board and BL-Touch,Duet Wifi board
Did I just kill my TAZ 6?,my TAZ
Clogged bore on TAZ6,TAZ6
TAZ6 Bed Vibration,Vibration
PEI Lifting off from bed,bed
TAZ 3 with TAZ 5 Extruder,TAZ 5 Extruder
TAZ6 misses leveling washer when traveling to it.,washer
TAZ6 misses leveling washer when traveling to it.,it
Prints shifting on TAZ 6,TAZ 6
New Taz 5 owner needs help,help
Have issues and been fiddling with it for 3 weeks,3 weeks
Have issues and been fiddling with it for 3 weeks,it
TAZ 6 X belt rubs carriage,carriage
well it's my turn chasing the dog 'z' bed level,dog
TAZ 5 with unusual problem.  Need help,unusual problem
Problem with replacement single extruder toolhead,replacement single extruder toolhead
Homing G28 Z0 not working: why are all axes are homing???,why are homing
Improved Auto Bed Leveling TAZ 6 - Part 1,TAZ 6
Dual Extruder V3 used as single extruder,single extruder
"Help !Bed leveling problem, Unbalance Nozzle of V3",V3
Archim board - looks like an upgraded Rambo,upgraded Rambo
TAZ 6 with Aerostruder problems.,Aerostruder problems
Rambo Patch adding capacitor to z-min & zero sense,z-min
Rambo Patch adding capacitor to z-min & zero sense,capacitor
Lutzbot TAZ 6 Printer Nozzle Drags back through print,print
Taz 6 Probing failed after Arduino Board change.,Arduino Board change
Taz 6 pauses while printing from SD card,printing
Taz 6 pauses while printing from SD card,SD card
Taz 5 Print Jams,Jams
Flexystuder made from FLEXYDUALLY help,FLEXYDUALLY help
"Lulzbot Taz 6, 3D iphone case with face",face
Extruder Head encased itself in ABS overnight!,itself
2 different filaments in 1 print?,1 print
Can you adjust the bed on Taz 6?,Taz 6
Can you adjust the bed on Taz 6?,bed
Aerostruder connector with V2C tool harness,V2C tool harness
"LulzBot TAZ 5 Motherboard swapped for RAMBo 1.3, printing only limited to a few inches on X/Y Axis",RAMBo 1.3
"LulzBot TAZ 5 Motherboard swapped for RAMBo 1.3, printing only limited to a few inches on X/Y Axis",only limited to few inches on X/Y Axis
Dual extruder v3 prints with wrong head midprint and other malfunctions,wrong head midprint
"Prints end up ""printing in air""",printing in air
Capacitive Auto Bed Leveling,Leveling
TAZ 3 with new TAZ 5 Compatible Extruder,new TAZ 5 Compatible Extruder
Bubbles Under Brand New Heated Beds (Yes Plural),Yes Plural
Filament channel is clogged?,clogged
TAZ 6 Heated Bed Not Heating - Perplexing Puzzle - [EDIT - SOLVED!! Heater pin melted on RAMBo!],RAMBo
TAZ shutting down when wiping nozzle,nozzle
Proposed dual head with the best of the single Head,best of single Head
TAZ 6 DualExtv2 - filament jammed in extruder,extruder
"Filament stuck in printer, wont budge, wont remove",printer
Taz 5 FlexyDually Skipping/Slipping with Ninjaflex,Ninjaflex
Modified wipe code for other toolheads to use Dual V3 wipe pad,code
Modified wipe code for other toolheads to use Dual V3 wipe pad,V3
Modified wipe code for other toolheads to use Dual V3 wipe pad,pad
interlayer bonding issue with TAZ 6,TAZ 6
TAZ6 Z axis steppers making a loud growling noise.,loud growling noise
Four screws holding the control box to the frame,frame
Four screws holding the control box to the frame,control box
Shell is peeling off the model,model
Total NOOB with soooo many questions...,soooo many questions
Thermal Error with blank Heater_ID,blank Heater _ ID
Dual V3 with flexible filaments (ie. Ninjaflex),flexible filaments
Poor Man's Pause on Filament Run Out,Pause on Filament Run
"Random temperature drop, firmware disconnection on Taz 5 Dual v2?",Taz 5 Dual v2
Backlash in y axis - TAZ 5,y axis
Why does filament extrude before printing.,printing
1.75 mm filament in 3.0 mm hot end,3.0 mm hot end
Taz 5 Heating Bed - Temperature error,Temperature error
Review of LulzBot Modular Print Bed Heater,Bed Heater
Left Z axis threaded rod binding,rod binding
Taz5 Z-axis skewed after each print,print
"New Taz6, Help with poor prints",poor prints
Is the Flexystruder v2 being discontinued?,Is discontinued
Dual Extruder 3 with Flexi?,Flexi
Taz 6 Dually - Second extruder making contact with print volume,print volume
How does the Dualhead Taz v2 compare to the v3?,v3
TAZ6 Z Homing Issues with Standard Tool Head,Standard Tool Head
Taz 5 user looking for test print on TAZ 6,test print TAZ 6
Ditched my skirt for this Prusa i3 Mk2 style wipe feature I made for the TAZ 6,my skirt for Prusa i3 Mk2 style
Ditched my skirt for this Prusa i3 Mk2 style wipe feature I made for the TAZ 6,TAZ
Severe Warping Printing Spare parts using Chroma Strand ABS,Chroma Strand ABS
Jamming Hexagon Print head,head
ABS sticks to plate like insanity! Help.,plate
ABS sticks to plate like insanity! Help.,insanity
Moarstruder External Fill Pattern,Pattern
Taz 6 just stopped working???,working
TAZ 4 left & right Z motors get out of sync,sync
"Printer stops extruding, Chomps filament",extruding
Z axis issue with new TAZ6,new TAZ6
Problem with Taz 6 print,Taz 6
Buying used taz 3/4/5 bed mount plates,used taz 3/4/5 bed
12v 40mm cooling fan replacing the original 24v,original 24v
DIY TAZ-6 Auto home was a problem,problem
"SD card plastic broke off inside card reader, Taz6",card reader
"SD card plastic broke off inside card reader, Taz6",Taz6
"ABS / HIPS Melting on large print, suggested settings?",settings
TAZ5 stops printing after a few hours,printing
TAZ5 stops printing after a few hours,few hours
"Taz6 Flezystruder problem with ""Auto Home""",Auto Home
Bridge Nylon lifting PEI sheet,PEI sheet
"Flexydually v2, help printing with flexy only",flexy
TAZ 5 Heated Build plate Connector very hot and smells like magic smoke,magic smoke
Tips for resolving y-axis being off about 0.10mm,off about 0.10 mm
Titan Aero? Anyone consider installing one?,one
Tensioner Boby Keeps Breaking,Breaking
Nozzle pressing into washers when doing bed level,washers
Nozzle pressing into washers when doing bed level,bed level
Retraction issue when setting extruder temp and wait command,command
Modified heatsink fan duct for Taz-6 With LEDs,LEDs
Printer stops midprint,midprint
Filament bending at top of exstruder,top exstruder
Line voids in prints,prints
Bed centered cam mount for taz 6 ???,taz 6
trouble with z axis homing,axis homing
Taz 3 showing error mintemp,error mintemp
Bearing play - Is this normal?,normal
Taz 6 Left Side not Lifting,Side
Need help inserting new Igus bushings,new Igus bushings
Anyone Tried a Removable PEI Bed?,Removable PEI Bed
Removable Taz 6 Print Surface,Surface
Dual Extruder Blobs with 1.75mm filament,1.75 mm filament
Generic Question - do you lube rails?,rails
Taz 6 messing up layers,layers
Help Trouble Print Head & Fans after Disassembly,Head
Help Trouble Print Head & Fans after Disassembly,Fans
Anyone have an Extruder stepper motor pin-out,Extruder stepper motor pin-out
Bubbles in PEI sheet,PEI sheet
Problem with First Layer,First Layer
How do I print from T1 with T0 support structures,T1 with T0 support structures
How many TAZ can I run on a 15 Amp breaker?,How many TAZ
How many TAZ can I run on a 15 Amp breaker?,15 Amp breaker
Enclosure Question - Attach to Taz?,Taz
*WARNING* Anyone with a Thermal Runaway issue,Thermal Runaway issue
Problem with Y-Axis Belt Mount,Y-Axis Belt Mount
Does anyone tried BuildTak FlexPlate System ?,BuildTak FlexPlate System
Can the TAZ6 Auto Leveling be added to the TAZ5,Can Leveling added to TAZ5
Tax 6 Poor Print Quality,Quality
Taz 6 Extruder Harness Snagging Prints Leading to Failue,Failue
Anyone put a thermocouple on a TAZ 5?,thermocouple
Anyone put a thermocouple on a TAZ 5?,TAZ 5
TAZ 5 Stops Mid-Print,Mid-Print
Should I add raspberry Pi........?,raspberry Pi
HIPS Support Material Melts on Long Print,Long
PLA is too stiff to extrude at the end of finishing a role,too stiff
Weird Print Problem,Problem
Flexy Dually v1 Installation instructions on a TAZ 5?,Installation instructions
Flexy Dually v1 Installation instructions on a TAZ 5?,TAZ 5
"I'll admit it, I like em small.",it
"I'll admit it, I like em small.",em small
Taz 4/5 has issues with Z Home,issues with Z Home
Dual Extruder with Water-soluble filament,Water-soluble filament
"Taz 6, Extruder v2.1, Clogging after 2-3 layers",2-3 layers
TAZ 6 Print Shifting,Shifting
Extruder running into edge of print bed,edge of print bed
Swap one (flexy) extruder out of the FlexyDually with Stock v2.1 possible?,Stock v2 .1 possible
TAZ 6 Reboots Manually Loading Filament,Filament
My printer just caught on fire.,fire
Bulging when the nozzle makes a sharp turn,sharp turn
Did anyone ever get their machine to work?,their machine
Adventures with PETG,PETG
Taz 6 stopped print when I booted into Windows,Windows
Taz 6 stopped print when I booted into Windows,print
TAZ 6 extruded harness pinout?,harness pinout
Taz 6 Bed leveling chaotic,leveling
Taz 6 Bed leveling chaotic,chaotic
How much offset is normal for auto alignment?,normal
How much offset is normal for auto alignment?,auto alignment
Heater Resistor Stuck in Heater Block,Heater Block
Stepper Motor Unresponsive in E01 Port; Unsure as to how to switch,E01 Port
Time Lapse Print Recording,Recording
Taz 6 Retracting too much before leveling?,too much
Temperature Controlled Enclosure,Enclosure
Practical minimum layer height with Taz-6 with nGen filament,Taz-6
Practical minimum layer height with Taz-6 with nGen filament,nGen filament
Filament material used for production printed parts?,parts
TAZ5 Works Wonders for Your Kid's Costume!,Costume
Taz 6: Large prints shifting while dual extrusion printing,dual extrusion printing
Snapped Nozzle - with solution,solution
Taz 6...continued z issuea,issuea
Issues Printing Small Part,Small Part
Idler Arm Finally Cracked on TAZ5,TAZ5
Taz 6 Nozzle touches print when printing solid layers,solid layers
SOLVED: TAZ 5 Shifting first couple of layers,layers
Consistent Jams with PLA on Taz6 Heat Creep Issues,PLA
Minor Print Gliches in TAZ6,TAZ6
Whats going on in this nGen print?,nGen print
"Electrical issues with TAZ 5: Printer ""reboots"", stops mid print",TAZ 5
"Electrical issues with TAZ 5: Printer ""reboots"", stops mid print",mid print
Possible to use the Mini's flexystruder in the Taz 6,Taz 6
Taz 5 went black,black
how long can you run the Taz 5 for?,Taz 5
LulzBot TAZ Tool Head v2 skips filament,filament
Defaut e-step in Cura and on Lulzbot,Cura
Flexystruder V1 with Taz 5,Taz 5
TAZ6 Dual Extruder v2 extrudes a bunch of excess filament before starting print,print
Taz 4 stopping mid-print...sometimes,mid-print
Debris appears in extruded filament,extruded filament
y_idler_mount_v4.0.FCStd file not the same part as on my TAZ 6,_ v4 .0
Is secondary extruder wire harness same for Dual & FlexyDually?,Dual
Is secondary extruder wire harness same for Dual & FlexyDually?,same
Help with Elephant's Foot,Foot
TAZ 6 - problem with Z axis --- HELP,Z axis
TAZ 6 -- Experiences in Europe,Europe
Clack Clack sound on retract TAZ4 Budaschnozzle 2,retract TAZ4 Budaschnozzle 2
Taz 5 stops extruding at exactly the same point,extruding at exactly same point
Enabling Servo causing limit switch problem,limit switch problem
Can I make a Flexystruder with any hotend?,Flexystruder with hotend
How much heat can the stock NEMA motors take?,How much heat
How many hours do you have on your lulzbot taz X,How many hours
How many hours do you have on your lulzbot taz X,your lulzbot taz X
TAZ 5 PLA have to cold pull after every print,print
Taz 5 only extrudes filament for a couple of seconds,filament
TAZ z-axis grinding at start of print,start print
Taz 4 3 Point Bed Mounting,Mounting
New taz 6 need help please with dimensional accuracy,help please with dimensional accuracy
Taz 6 skipping commands at end of gcode files,end of gcode files
Taz 6 skipping commands at end of gcode files,commands
Prints come out lumpy,lumpy
Do you want to remotely control power to your Taz and peripherals?,power to your Taz
"Lines in print, need help please!",print
Finest layer setting for Taz 5,Taz 5
Y-Axis will jams rotating clockwise,jams rotating
Taz 5 ABS cracking even with cat guard. Next steps?,even cat guard
Does Flexystruder work with all filaments?,filaments
"TAZ 6: Z-axis stops midway through print; X & Y continue, grinding nozzle on print",print
"TAZ 6: Z-axis stops midway through print; X & Y continue, grinding nozzle on print",nozzle
Difficulties with prime tower/ooze shield failures,prime tower/ooze shield failures
Taz 6 - Scratched My Build Plate?,My Build Plate
Taz 3 with hexagon hot end - Z axis endstop problem,hexagon hot end
TAZ 5 Harbor Freight Print Station,Station
Taz 5 stopped working,working
TAZ 5 Stops in the middle of a project,middle of project
Need Guidance: Printing Calibration Cubes with Flat Corners,Flat Corners
TAZ5 producing rough surface,rough surface
Taz 4 Print issue,issue
Anyone here sell their old taz for a taz6?,their old taz
How do I print details smaller than 1mm on the Taz 5?,details smaller
Has anyone modelled the TAZ hexagon hot end in 3d?,TAZ hexagon hot end
Has anyone modelled the TAZ hexagon hot end in 3d?,3d
Where were would I get a lulzbot taz 3 budaschnozzle 1.3 nozzle?,lulzbot taz 3 budaschnozzle
Change in print bed after printing ABS,print bed
Printing fine details with TAZ 5,TAZ 5
TAZ5 heatbed thermal view,thermal view
Dual Extruder Knocking normal?,normal
Extrusion Problem with Dual Extruder v2,Dual Extruder v2
Heat set inserts...,inserts
Taz 5 printer is hanging mid print.,mid print
Best top mounted TAZ 5 Spool bracket stl?,TAZ 5 Spool bracket stl
Problems with New TAZ 5 printer,New TAZ 5 printer
Taz 5: Can fan be used on high temp prints?,Can used on high temp prints
Random wait for user input,user input
Best printer parts store for TAZ 5?,TAZ 5
How do you know you have the current firmware on your TAZ5?,current firmware on your TAZ5
Need someone help lulzbot taz 4,lulzbot taz 4
don't know what's going on. help would be appreciated,would appreciated
Flexystruder too tight for filament,filament
One week with a new TAZ 5,new TAZ 5
Dual extruder V2 is available,available
melted filament coming out top of heat block.,top of heat block
Printing Multi-material parts with a single extruder,single extruder
dial gauge mount for taz 5,taz 5
Taz5 Dual V2 issue - Could it be firmware ?,Could firmware
Issue with filament/Extruder,filament/Extruder
ED3 V6 cooling fan not working and have a mintemp error,mintemp error
What should I actually expect from my TAZ 5 with minimal modifications,minimal modifications
Removing set screws on motors,motors
Removing set screws on motors,screws
Issues printing taller objects.,taller objects
nozzle got clogged,clogged
Enclosure with electronics outside,electronics
TAZ5 - Z axis steppers move at different rates?,different rates
Cant get prints to correct size,size
Cant get prints to correct size,prints
I am guessing breathing these fumes all day no good??,breathing
Things I have done to my Taz,my Taz
Sh!tty build quality,quality
"Severe issues With PLA and PETG, + questions",PLA
New Taz 5 - Issues with taller prints - consistent height ribbing / waviness (SOLVED),taller prints
ABS sticks to plate like insanity! Help.,plate
ABS sticks to plate like insanity! Help.,insanity
Flexystruder v2 Print Settings,Settings
Does the TAZ have any over heating safety measures?,any over heating safety measures
Do you still use ABS Juice with heated TAZ 5 bed?,heated TAZ 5 bed
Do you still use ABS Juice with heated TAZ 5 bed?,ABS Juice
First print and the rocktapus ripped my bed :(,my bed
Problems with STL files from Autodesk Inventor?,STL files from Autodesk Inventor
Did I just put a divot in my bed?,my bed
Did I just put a divot in my bed?,divot
Nozzle temp dropping during print,print
Filament getting stuck.,stuck
Taz 5 Power Supply with a Dead Fan,Dead Fan
Trouble with prints staying down.,prints staying
Printing from SD-Card crashed on USB connect,USB connect
TAZ 4 Failed Prints,Prints
New Taz 5 owner - how do I use my tool bag?,my tool bag
TAZ 5 Froze During Long Print Job,Job
Hot end Temperature dropping when heated bed is on,when on
Original Taz with Dual Extruder Error,Dual Extruder Error
Slightly used TAZ 5 for sale in Northern Virgina,Northern Virgina
Print failures / clog / hobbed bolt eating into filament,filament
Dual extruder is garbage.,garbage
Is anyone a bit frustrated buy this?,frustrated
Is anyone a bit frustrated buy this?,bit frustrated buy
x-axis going out of level,level
Auto Bed Leveling,Leveling
Different z heights with different extruders,different extruders
Stepper Motors in Enclosure?,Enclosure
Has anyone done a flexy dualie hexagon?,flexy dualie hexagon
TAZ5 Mimicking Printing,Printing
TAZ 4 clogging issues with PLA,PLA
PEI Bed Sticks Too Much,Sticks Too
TAZ5 - PEI separating from adhesive,adhesive
Taz 5 Upgraded rods and bearings,bearings
Taz 5 Upgraded rods and bearings,rods
"Taz 4 X End Plate, Dual Extruder, FlexyDually FOR SALE",SALE
Anyone see the 3d scanner post here?,3d scanner post
TAZ 5 Mechanical Assembly in FreeCAD,FreeCAD
Printing Taz3 to Taz5 upgrade parts with a LulzMini?,LulzMini
New TAZ 5 owner. What kind of advice can you give me?,me
Getting usable supports with TAZ4 Dual with Simplify3D,TAZ4 Dual
Wire came out of the extruder,extruder
z AXIS moves are inconsistent,inconsistent
Best Video Camera set up for OctoPrint & Raspberry Pi,OctoPrint Pi
Z-axis threaded pole misalignment causing motor jam,pole misalignment
sproket come loose / sheared ?,loose
New TAZ5 user needs help,help
Noises coming from Extruder assembly,Extruder assembly
Taz damaged out the box - help me fix it,box
"Why does this happen? Thoughts, I'm out of them.",them
"Taz 5 Hotend problem, please help",help
Holes in top layer,top layer
Hexagon Hot End Clogged with HIPS,HIPS
"TAZ'clone' sporting a 2W laser cutter, the L?Z16",2W laser cutter
Heat Resistors Keep Burning Out,Burning
"I got question, there is a lot of them!",question
I'm in a jam!!,jam
Taz 5 low spot in bed from heater wires,bed from heater wires
Small cylindrical parts printing oval,oval
Kauri Cables gunna be tight,tight
Prints failed stoping at the same height 4 Times 2 parts.,stoping at same height 4 Times 2 parts
Z-Axis Stops Stepping,Stepping
TAZ 5 Left Side Fan Duct,Side Fan Duct
Replacment printed parts for the Taz 5,Taz 5
Replacment printed parts for the Taz 5,parts
Fine tuning help needed since hex hotend,hex hotend
Hexagon Hotend requires much higher temperature for PLA?,PLA
Hexagon Hotend requires much higher temperature for PLA?,much higher temperature
Zoinks!  Can you mix hex and budda on dual head?,hex
Zoinks!  Can you mix hex and budda on dual head?,budda
TAZ 5 with Mini upgrades?,Mini upgrades
Hot end cools in the middle of a print,middle of print
New User seeking advice,advice
New hotend in Europe,Europe
"Marlin files on SD, are tuned to my printer ?",my printer
"Marlin files on SD, are tuned to my printer ?",SD
"Marlin files on SD, are tuned to my printer ?",tuned
Odd pattern printing a flat box,flat box
PLA prints are curling off the bed,bed
Homing Kittaz sends the head into a bed mount,bed
Homing Kittaz sends the head into a bed mount,head
"Single and Dual Extruder hotends, can i freely swap them?",them
Problem using Flashair SD Card,Flashair SD Card
"Hot End temp lowered when print starts, stringing results",results
Heated bed always registers 1c below set temp,set temp
Sudden issue with default TAZ3 profile,default TAZ3 profile
Do you unplug your power supply?,your power supply
J-Head mount for the TAZ,TAZ
New TAZ4 owner and have hard time getting prints,prints
Y axis skips during very long print,very long print
Chunky printing in perimeters and infill,perimeters
General Help with Taz 4,Taz 4
PLA leaking around nozzle heater,nozzle heater
"Hybrid parts.. ABS and NinjaFlex,  anybody doing it?",it
will the real taz 4 build volume please stand up,volume please
x axis now running in reverse direction,reverse direction
Coating on bed that ships with TAZ 4,TAZ 4
Stepper moror is very hot!,very hot
Fan Lowering Hot End Temp,Hot End Temp
Issues with Pronterface motor control,Pronterface motor control
Budasnozzle clogged. How do I unclog it?,it
Taz 4 quivers printing round sequences,round sequences
XY Steppers stopped during print. but returned to home,print
Taz 4 LED mod/kit,mod/kit
hand made Cooler Fan issue TAZ3,Cooler Fan issue TAZ3
Custom Taz 3 with upgraded z-axis plus extras FOR SALE,upgraded z-axis
Green tape stuff pealing off bed glass,bed glass
TAZ LCD start to blink when power on?,blink
TAZ 2 Print Quality Finally Sorted (Hopefully),Quality
Bed Calibration Print Question,Question
"Broke my herringbone gears, and fried stepper motor?",stepper motor
Can I leave in my unheated Garage?,my unheated Garage
LCD Resetting Itself,Itself
Lulzbot Customer Support in need of an upgrade :-(,need of upgrade
Bent threaded rod,rod
Hobbed bolt chewing through ABS on TAZ 0.15 layer height,ABS
Taz 2.0 manufacturered parts?,parts
X-axis shifting with large prints,large prints
TAZ with Laser and CNC Circuit Mill Spindle,Laser
"Hope you kept your TAZ box...simple ""heated"" enclosure",your TAZ box
Bed suddenly stopped heating,heating
